id,name,price,discounted_price,name_slug
133,Vijay Thakkar Sessions ,0.00,149.00,dh-133
134,Yash Khemka Course ,0.00,149.00,dh-134
135,Yatin Koodi Webinar and Price Action Course ,0.00,149.00,dh-135
136,Dharmik Thakkar Sessions ,0.00,99.00,dh-136
137,Super Trader Lakshya Course Video ,0.00,99.00,dh-137
138,Sanbun Investment Course ,0.00,99.00,dh-138
139,Trade.inn Option Buyer BTST Course ,0.00,99.00,dh-139
140,Trade.inn Algo Setup ,0.00,99.00,dh-140
141,King Research Railway Track Strategy ,0.00,99.00,dh-141
142,King Research Value and Growth Investing Course,0.00,,dh-142
